id,value,unit
KmS_SPC_56_Cell,0.036,CustomUnit("M")
KiQ_SPC_38_Cell,0.000056,CustomUnit("M")
Vmax_KmS_SPC_56_Cell,0.00366674,CustomUnit("katMwedgeonegwedgeone")
KiA_SPC_37_Cell,0.0023,CustomUnit("M")
KmA_SPC_37_Cell,0.00071,CustomUnit("M")
Vmax,0.0001316693,CustomUnit("katgwedgeone")
kcat,2.3,CustomUnit("swedgeone")
Km_SPC_56_Cell,0.0062,CustomUnit("M")
kcatKm_SPC_56_Cell,370,CustomUnit("Mwedgeoneswedgeone")
Vmax,0,CustomUnit("")
Km_SPC_56_Cell,0.0119,CustomUnit("M")
Km_SPC_56_Cell,0.0007,CustomUnit("M")
Vmax,0.0000002233333,CustomUnit("molswedgeonegwedgeone")
kcat,1063.333,CustomUnit("swedgeone")
kcatdivKm_SPC_1292_mitochondrion,506666.7,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_1292_mitochondrion,0.0021,CustomUnit("M")
Ki_SPC_2190_Cell,0.000075,CustomUnit("M")
Km_SPC_56_Cell,0.0011,CustomUnit("M")
kcat_Km_SPC_56_Cell,16.66667,CustomUnit("Mwedgeoneswedgeone")
kcat,0.1833333,CustomUnit("swedgeone")
kcat,120,CustomUnit("swedgeone")
kcatdivKm_SPC_56_mitochondrion,117666.7,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_mitochondrion,0.00102,CustomUnit("M")
kcat,2.833333,CustomUnit("swedgeone")
kcat_Km_SPC_56_Cell,5666.667,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_Cell,0.0005,CustomUnit("M")
kcat_Km_SPC_56_cytosol,0.75,CustomUnit("Mwedgeoneswedgeone")
Kcat_Km_SPC_56_Cell,0.75,CustomUnit("Mwedgeoneswedgeone")
kcat,1.883333,CustomUnit("swedgeone")
kcat_Km_SPC_56_Cell,6666.667,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_Cell,0.00026,CustomUnit("M")
kcat,6.84,CustomUnit("swedgeone")
Kia_SPC_37_Cell,0.00016,CustomUnit("M")
Kma_SPC_37_Cell,0.0001,CustomUnit("M")
kcat,1.1,CustomUnit("swedgeone")
Kmb_SPC_56_Cell,0.014,CustomUnit("M")
Km_SPC_56_Cell,0.0007,CustomUnit("M")
Vmax,0.0000216671,CustomUnit("katgwedgeone")
kcat,215,CustomUnit("swedgeone")
kcat_Km_SPC_56_cytosol,850,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_cytosol,0.255,CustomUnit("M")
kcat,0.5666667,CustomUnit("swedgeone")
Km_SPC_37_Cell,0.000007,CustomUnit("M")
Ki_SPC_9941_Cell,0.0000005,CustomUnit("M")
kcat,41.33333,CustomUnit("swedgeone")
kcat_Km_SPC_56_cytosol,25,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_cytosol,1.625,CustomUnit("M")
Km_SPC_37_Cell,0.00019,CustomUnit("M")
kcat,4.666667,CustomUnit("swedgeone")
kcat_Km_SPC_37_Cell,24500,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_Cell,0.005,CustomUnit("M")
kcat,0,CustomUnit("")
Ki_SPC_24753_Cell,0.002,CustomUnit("M")
Kiu_SPC_35_cytosol,0.017,CustomUnit("M")
Vmax,0.0001316693,CustomUnit("katgwedgeone")
Km_SPC_37_Cell,0.00071,CustomUnit("M")
KiA_SPC_37_Cell,0.0023,CustomUnit("M")
Ki_SPC_2190_Cell,0.000105,CustomUnit("M")
Activity,0.0000233338,CustomUnit("katgwedgeone")
Vmax,0.0000006666667,CustomUnit("molswedgeonegwedgeone")
Km_SPC_56_cytoplasm,0.0073,CustomUnit("M")
Ki_SPC_2190_Cell,0.00009,CustomUnit("M")
Act,0.0000065,CustomUnit("molswedgeonegwedgeone")
Km_SPC_37_cytoplasm,0.0005,CustomUnit("M")
Vmax,0.0001650033,CustomUnit("katgwedgeone")
Ki_SPC_24753_Cell,0.0147,CustomUnit("M")
Km_SPC_56_Cell,0,CustomUnit("")
kcat,0.5,CustomUnit("swedgeone")
IC50_3_SPC_8731_Cell,0.000005,CustomUnit("M")
IC50_5_SPC_23148_Cell,0.000003,CustomUnit("M")
IC50_2_SPC_5133_Cell,0.0001,CustomUnit("M")
IC50_4_SPC_12293_Cell,0.000004,CustomUnit("M")
IC50_1_SPC_23139_Cell,0.00008,CustomUnit("M")
Km_app_SPC_56_cytosol,0.0012,CustomUnit("M")
